,cityname,cloudiness,country,date_time,humidity,latitude,longtitude,temp,windspeed
285,Misratah,12,LY,2017-09-08 22:55:47,86,32.38,15.09,81.68,1.61
286,Mlimba,56,TZ,2017-09-08 22:55:47,57,-8.8,35.82,74.3,2.95
287,Mogadishu,64,SO,2017-09-08 22:55:21,100,2.04,45.34,77.81,17.72
288,Monrovia,88,LR,2017-09-08 22:55:15,100,6.3,-10.8,76.82,4.41
289,Mont-de-Marsan,100,FR,2017-09-08 22:30:00,93,43.89,-0.5,60.8,4.7
290,Montevideo,90,UY,2017-09-08 22:00:00,93,-34.83,-56.17,59.0,11.41
291,Mosquera,75,CO,2017-09-08 22:00:00,87,4.71,-74.23,55.4,3.36
292,Mozhaysk,24,RU,2017-09-08 22:55:49,98,55.5,36.03,54.59,7.43
293,Muros,40,ES,2017-09-08 22:30:00,93,42.78,-9.06,55.4,2.24
294,Mus,0,TR,2017-09-08 21:50:00,27,38.75,41.51,62.6,4.7
295,Mustasaari,56,FI,2017-09-08 22:20:00,100,63.17,21.67,44.6,4.7
296,Mutoko,0,ZW,2017-09-08 22:55:50,44,-17.4,32.23,68.63,4.63
297,Mvangue,88,CM,2017-09-08 22:55:51,94,2.97,11.52,69.44,2.84
298,Mwinilunga,0,ZM,2017-09-08 22:55:51,40,-11.74,24.43,67.01,4.41
299,Nagod,0,IN,2017-09-08 22:55:51,66,24.57,80.6,92.57,4.41
300,Namibe,88,AO,2017-09-08 22:55:52,97,-15.2,12.15,67.28,5.97
301,Nampula,20,MZ,2017-09-08 22:00:00,93,-15.12,39.27,64.4,4.7
302,Nanortalik,88,GL,2017-09-08 22:55:52,87,60.14,-45.24,40.01,26.33
303,Nantucket,1,US,2017-09-08 22:35:00,87,41.28,-70.1,60.8,12.8
304,Narodychi,0,UA,2017-09-08 22:55:53,86,51.2,29.08,57.56,4.63
305,Narsaq,92,GL,2017-09-08 21:50:00,85,60.92,-46.05,44.6,16.11
